State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Maryland,1229390,310031,310031,0,2020,2,2019,6,
California,12693315,3768859,3762176,6683,2020,2,2019,4,
Utah,287277,,,,2020,2,2019,3,
Alabama,1025250,,,,2020,2,2018,9,
Maine,257551,8562,8562,0,2020,2,2019,2,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Arkansas,915127,280923,280441,482,2020,2,2018,7,
Georgia,1962735,,,,2020,2,2019,6,
Colorado,1255515,389270,382110,7160,2020,2,2019,2,
Alabama,1030845,,,,2020,2,2018,10,
Pennsylvania,2889531,787158,747021,40137,2020,2,2018,7,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nevada,594711,212434,212434,0,2020,2,2018,11,
Michigan,2385506,671648,625194,46454,2020,2,2019,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Florida,3813445,,,,2020,2,2019,4,
Dist. Of Col.,260350,107478,66313,41165,2020,2,2019,5,
Totals,74770615,15151153,11945738,3205415,2020,2,2018,12,
Dist. Of Col.,261071,110308,68937,41371,2020,2,2018,7,
Alaska,206870,50050,50046,4,2020,2,2018,12,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Tennessee,1540713,,,,2020,2,2019,1,
Utah,288842,,,,2020,2,2019,2,
Massachusetts,1488230,336784,0,336784,2020,2,2019,3,
California,12875160,3790254,3790254,0,2020,2,2018,10,
Virgin Islands,28835,13376,,13376,2020,2,2019,5,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Colorado,1267068,398485,391400,7085,2020,2,2018,12,
Kentucky,1290860,450566,450566,0,2020,2,2019,2,
North Dakota,91090,20369,19419,950,2020,2,2019,4,
Pennsylvania,2859247,771932,732808,39124,2020,2,2019,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Missouri,929322,,,,2020,2,2018,9,
Wisconsin,1182357,,,,2020,2,2019,6,
Rhode Island,309924,69330,69330,0,2020,2,2018,8,
Pennsylvania,2859499,770742,731892,38850,2020,2,2019,2,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nevada,589856,211069,211069,0,2020,2,2019,1,
Mississippi,678243,,,,2020,2,2018,8,
Florida,3878529,,,,2020,2,2018,10,
Rhode Island,301535,66641,66641,0,2020,2,2019,4,
Puerto Rico,1240935,424284,,424284,2020,2,2019,4,
Totals,75799027,15335170,12058478,3275692,2020,2,2018,10,
Kentucky,1324040,464074,464074,0,2020,2,2018,7,
North Carolina,2179965,,,,2020,2,2018,7,
Montana,254940,97832,97832,0,2020,2,2018,12,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Rhode Island,300970,66686,66686,0,2020,2,2019,6,
Illinois,2566110,655276,547918,107358,2020,2,2019,6,
Wyoming,54597,,,,2020,2,2019,3,
Michigan,2434780,686125,626607,59518,2020,2,2018,7,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Oklahoma,640095,,,,2020,2,2018,12,
Arizona,1874674,421967,106458,315509,2020,2,2019,1,
California,12611814,3741920,3732198,9722,2020,2,2019,5,
Idaho,293665,,,,2020,2,2019,1,
Puerto Rico,1217207,402604,,402604,2020,2,2018,10,
Kansas,350174,,,,2020,2,2019,5,
Michigan,2428592,684432,626588,57844,2020,2,2018,10,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Arizona,1876939,426199,107490,318709,2020,2,2019,3,
Indiana,1310771,310202,310202,0,2020,2,2019,3,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
New York,6130507,1900628,301942,1598686,2020,2,2019,3,
Virginia,1070855,0,0,0,2020,2,2018,7,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
North Dakota,89590,19908,18981,927,2020,2,2019,5,
North Dakota,92554,20430,19429,1001,2020,2,2018,10,
Minnesota,1097796,202437,201489,948,2020,2,2018,10,
Massachusetts,1742631,346875,0,346875,2020,2,2018,9,
Texas,4152831,,,,2020,2,2019,4,
Washington,1757941,560323,546598,13725,2020,2,2018,10,
Idaho,303522,,,,2020,2,2018,10,
Totals,76353875,15448246,12137627,3310619,2020,2,2018,7,
Hawaii,313334,112080,20671,91409,2020,2,2019,1,
Nebraska,245121,,,,2020,2,2019,4,
Texas,4126343,,,,2020,2,2019,6,
West Virginia,528207,161508,161508,0,2020,2,2018,11,
Indiana,1320972,302840,302840,0,2020,2,2018,8,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Utah,296817,,,,2020,2,2018,8,
Georgia,1945609,,,,2020,2,2018,12,
Illinois,2611653,669227,561633,107594,2020,2,2019,4,
Minnesota,1084410,197789,197019,770,2020,2,2019,1,
Montana,260463,98630,98630,0,2020,2,2018,7,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Arizona,1861477,423482,105668,317814,2020,2,2019,6,
Rhode Island,308695,69511,69511,0,2020,2,2018,12,
South Dakota,105275,,,,2020,2,2018,7,
Florida,3723585,,,,2020,2,2018,9,
Louisiana,1654528,494332,494332,0,2020,2,2018,10,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Maryland,1227887,310074,310074,0,2020,2,2019,5,
Tennessee,1512716,,,,2020,2,2018,10,
North Carolina,2181656,,,,2020,2,2018,11,
New York,6158642,1921610,300259,1621351,2020,2,2018,8,
Iowa,605338,172015,157117,14898,2020,2,2019,5,
Oregon,958743,461893,381390,80503,2020,2,2019,3,
Ohio,2858429,569651,569360,291,2020,2,2018,12,
Alabama,1033902,,,,2020,2,2019,2,
Arkansas,825029,247947,246996,951,2020,2,2019,3,
Vermont,168055,55333,0,55333,2020,2,2019,5,
Alabama,1029480,,,,2020,2,2018,11,
Nevada,587603,209747,209747,0,2020,2,2019,3,
Maine,250778,0,0,0,2020,2,2018,11,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
New Jersey,1639444,545379,545379,0,2020,2,2019,2,
N. Mariana Islands,16334,,,,2020,2,2018,10,
South Dakota,104369,,,,2020,2,2019,1,
Kansas,341484,,,,2020,2,2019,6,
New York,6067467,1881383,301405,1579978,2020,2,2019,6,
Virgin Islands,27284,12497,,12497,2020,2,2018,12,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,219338,62893,9842,53051,2020,2,2019,1,
Louisiana,1646050,486291,486291,0,2020,2,2018,8,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
South Carolina,1260731,,,,2020,2,2019,5,
North Carolina,2162490,,,,2020,2,2019,3,
New Mexico,834204,258061,258061,0,2020,2,2019,4,
Washington,1766725,566372,552157,14215,2020,2,2018,8,
Oregon,967100,466729,386673,80056,2020,2,2019,1,
Kansas,374444,,,,2020,2,2018,9,
Minnesota,1067388,193550,192684,866,2020,2,2019,2,
Montana,252830,95805,95805,0,2020,2,2019,6,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Vermont,172504,56993,0,56993,2020,2,2018,11,
Florida,3790751,,,,2020,2,2019,2,
Connecticut,951730,264330,240657,23673,2020,2,2018,12,
Alabama,1019417,,,,2020,2,2018,7,
Colorado,1235646,378962,371819,7143,2020,2,2019,4,
Arizona,1873080,414203,106007,308196,2020,2,2018,8,
Missouri,903552,,,,2020,2,2018,11,
Georgia,1960778,,,,2020,2,2019,4,
Massachusetts,1455990,336735,0,336735,2020,2,2019,6,
Nevada,602322,214260,214260,0,2020,2,2018,8,
New Jersey,1656601,552053,552053,0,2020,2,2018,12,
Wyoming,55709,,,,2020,2,2019,4,
Washington,1743962,559930,545495,14435,2020,2,2019,2,
Arkansas,862562,264626,263881,745,2020,2,2018,11,
Colorado,1300426,411490,404538,6952,2020,2,2018,9,
Virgin Islands,27617,12713,12678,12713,2020,2,2019,1,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,218971,62762,9817,52945,2020,2,2019,3,
Wisconsin,1183194,,,,2020,2,2019,5,
Kansas,372118,,,,2020,2,2018,12,
Wisconsin,1183431,,,,2020,2,2019,4,
New Hampshire,185826,54920,54637,283,2020,2,2018,11,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Kentucky,1292585,449995,449995,0,2020,2,2018,12,
Guam,35692,4193,,4193,2020,2,2019,5,
Amer. Samoa,28183,,,,2020,2,2018,12,
Illinois,2638758,672921,565283,107638,2020,2,2019,2,
N. Mariana Islands,16446,,,,2020,2,2019,5,
Alaska,206088,48735,48732,3,2020,2,2018,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
North Dakota,89555,19561,18641,920,2020,2,2019,2,
Virgin Islands,29033,13514,,13514,2020,2,2019,6,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Hawaii,322003,116486,21627,94859,2020,2,2018,7,
Missouri,881755,,,,2020,2,2019,3,
Iowa,602886,168966,154137,14829,2020,2,2018,11,
New York,6153908,1911722,302526,1609196,2020,2,2019,1,
Maryland,1222071,310968,310968,0,2020,2,2019,3,
Connecticut,954542,267800,243656,24144,2020,2,2019,3,
California,12724664,3768331,3767510,821,2020,2,2019,2,
West Virginia,522211,161875,161875,0,2020,2,2019,5,
Colorado,1288644,409565,402363,7202,2020,2,2018,10,
Louisiana,1675222,507789,507789,0,2020,2,2019,2,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Arizona,1875585,417955,106001,311954,2020,2,2018,11,
Ohio,2828477,555348,555079,269,2020,2,2019,4,
Arizona,1875915,420159,106170,313989,2020,2,2018,12,
Wyoming,54259,,,,2020,2,2019,6,
Oregon,963477,464391,382716,81675,2020,2,2019,5,
Puerto Rico,1212621,403672,,403672,2020,2,2019,2,
Illinois,2835995,724881,617626,107255,2020,2,2018,7,
New Hampshire,187403,55149,54872,277,2020,2,2018,7,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Montana,257807,98633,98633,0,2020,2,2018,11,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Nebraska,244419,,,,2020,2,2019,1,
Oklahoma,639764,,,,2020,2,2019,4,
Vermont,171269,56793,0,56793,2020,2,2019,1,
Michigan,2419259,690711,639880,50831,2020,2,2019,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Louisiana,1644548,484602,484602,0,2020,2,2018,7,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
South Dakota,104100,,,,2020,2,2018,11,
Vermont,169458,55799,0,55799,2020,2,2019,3,
Iowa,603260,171270,156133,15137,2020,2,2019,3,
New Hampshire,185135,54590,54307,283,2020,2,2019,2,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Connecticut,950722,266719,242640,24079,2020,2,2019,4,
Montana,259669,99148,99148,0,2020,2,2018,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2900621,586054,585763,291,2020,2,2018,10,
Missouri,943536,,,,2020,2,2018,8,
Tennessee,1509553,,,,2020,2,2018,12,
Texas,4258552,,,,2020,2,2018,7,
Virgin Islands,28626,13248,,13248,2020,2,2019,4,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Guam,35908,4208,,4208,2020,2,2019,3,
Hawaii,315744,113064,21058,92006,2020,2,2018,11,
Minnesota,1060628,190089,189186,903,2020,2,2019,5,
Maine,250952,2922,2922,0,2020,2,2019,1,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Delaware,218326,62429,9542,52887,2020,2,2019,5,
Nebraska,243894,,,,2020,2,2019,5,
Texas,4204185,,,,2020,2,2019,2,
Maine,251140,0,0,0,2020,2,2018,10,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1701088,334737,0,334737,2020,2,2018,12,
Virginia,1082925,0,0,0,2020,2,2018,12,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
New Jersey,1667572,552008,552008,0,2020,2,2018,10,
New York,6149602,1911261,300546,1610715,2020,2,2018,11,
Florida,3771711,,,,2020,2,2019,6,
Alaska,207050,50745,50742,3,2020,2,2019,2,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Washington,1773278,569954,555955,13999,2020,2,2018,7,
Missouri,847272,,,,2020,2,2019,6,
Michigan,2443016,697752,645158,52594,2020,2,2019,2,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Mississippi,675003,,,,2020,2,2019,1,
Kentucky,1288626,449500,449500,0,2020,2,2019,4,
Delaware,218580,62573,9702,52871,2020,2,2018,11,
Wisconsin,1184828,,,,2020,2,2018,8,
North Carolina,2141148,,,,2020,2,2019,5,
Oregon,956800,458684,380477,78207,2020,2,2018,11,
South Carolina,1269811,,,,2020,2,2019,3,
Guam,36322,4039,,4039,2020,2,2018,8,
Delaware,210857,62684,10040,52644,2020,2,2018,7,
Arkansas,825397,250431,249523,908,2020,2,2019,6,
North Carolina,2112241,,,,2020,2,2019,6,
North Dakota,92213,20185,19193,992,2020,2,2018,7,
Oklahoma,637768,,,,2020,2,2019,3,
Alabama,1033512,,,,2020,2,2019,3,
West Virginia,524071,161070,161070,0,2020,2,2019,1,
California,12953106,3787702,3787702,0,2020,2,2018,7,
Connecticut,941173,254526,232838,21688,2020,2,2018,8,
New Hampshire,184346,54127,53842,285,2020,2,2019,3,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Maryland,1214405,307932,307932,0,2020,2,2018,9,
Puerto Rico,1223270,400209,,400209,2020,2,2018,12,
South Carolina,1266260,,,,2020,2,2018,8,
Arkansas,822617,249308,248377,931,2020,2,2019,5,
Dist. Of Col.,260411,108584,67018,41566,2020,2,2018,10,
Iowa,601388,169454,153747,15707,2020,2,2019,1,
Tennessee,1575689,,,,2020,2,2019,4,
West Virginia,531916,162893,162893,0,2020,2,2018,10,
Idaho,297787,,,,2020,2,2019,4,
Wyoming,56278,,,,2020,2,2018,12,
Maryland,1218003,308613,308613,0,2020,2,2018,8,
Missouri,897164,,,,2020,2,2018,12,
Oklahoma,655330,,,,2020,2,2018,8,
Maine,268056,24824,18981,5843,2020,2,2019,5,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Puerto Rico,1209026,420575,,420575,2020,2,2019,6,
Washington,1759134,564404,550659,13745,2020,2,2018,11,
Rhode Island,303148,66446,66446,0,2020,2,2019,3,
Idaho,298258,,,,2020,2,2019,6,
Montana,258991,99706,99706,0,2020,2,2019,2,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Nevada,586808,209695,209695,0,2020,2,2019,6,
Florida,3717196,,,,2020,2,2018,12,
Wisconsin,1176174,,,,2020,2,2019,1,
Wisconsin,1178290,,,,2020,2,2019,3,
Louisiana,1649027,493404,493404,0,2020,2,2018,11,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Oregon,960626,458091,383777,74314,2020,2,2018,7,
Maryland,1211974,309643,309643,0,2020,2,2019,1,
Massachusetts,1798421,354871,0,354871,2020,2,2018,7,
Kentucky,1289799,450707,450707,0,2020,2,2019,6,
Idaho,301897,,,,2020,2,2018,9,
Guam,36382,4041,,4041,2020,2,2018,7,
Dist. Of Col.,260240,109131,67651,41480,2020,2,2018,9,
New Hampshire,180873,52421,52137,284,2020,2,2019,6,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Kentucky,1320886,460997,460997,0,2020,2,2018,8,
New Jersey,1690311,564120,564120,0,2020,2,2018,7,
Pennsylvania,2866740,774134,735455,38679,2020,2,2019,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Oklahoma,649827,,,,2020,2,2018,11,
Virginia,1070456,0,0,0,2020,2,2018,8,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Virginia,1470849,255592,255592,0,2020,2,2019,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kentucky,1308238,454781,454781,0,2020,2,2018,9,
Alaska,205437,47522,47520,2,2020,2,2018,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Mississippi,675028,,,,2020,2,2018,9,
Alabama,1035250,,,,2020,2,2019,6,
Hawaii,317217,113491,20999,92492,2020,2,2018,10,
Illinois,2681580,688386,581454,106932,2020,2,2018,12,
Wyoming,57649,,,,2020,2,2018,7,
Pennsylvania,2866246,774485,735754,38731,2020,2,2018,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
N. Mariana Islands,16229,,,,2020,2,2019,4,
Tennessee,1586376,,,,2020,2,2019,6,
New Mexico,835672,250673,250673,0,2020,2,2018,8,
Louisiana,1652110,495453,495453,0,2020,2,2018,12,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1314309,304042,304042,0,2020,2,2018,11,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Idaho,304138,,,,2020,2,2018,12,
Alaska,206677,51144,51130,14,2020,2,2019,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Dist. Of Col.,260789,108049,66542,41507,2020,2,2019,2,
Utah,293018,,,,2020,2,2018,11,
Indiana,1320319,309792,309792,0,2020,2,2019,2,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Ohio,2845367,562111,561835,276,2020,2,2019,2,
Hawaii,280525,82168,33387,48781,2016,12,2014,12,
California,12725382,3733737,3733737,0,2020,2,2018,9,
Kansas,354789,,,,2020,2,2019,4,
New Mexico,837778,255147,255147,0,2020,2,2019,1,
Virginia,1531721,284466,284466,0,2020,2,2019,6,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Mississippi,674239,,,,2020,2,2019,3,
Missouri,941393,,,,2020,2,2018,7,
N. Mariana Islands,16417,,,,2020,2,2018,9,
Totals,75071007,15462070,12178529,3283541,2020,2,2019,4,
South Carolina,1256277,,,,2020,2,2018,7,
Indiana,1332154,304739,304739,0,2020,2,2018,7,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Illinois,2819278,718945,611650,107295,2020,2,2018,8,
Hawaii,312149,111530,20366,91164,2020,2,2019,3,
Hawaii,308739,110089,19919,90170,2020,2,2019,5,
Texas,4259080,,,,2020,2,2018,8,
Mississippi,674961,,,,2020,2,2019,5,
Totals,74215582,15269635,12003388,3266247,2020,2,2019,6,
Nevada,588394,210158,210158,0,2020,2,2019,5,
Washington,1759718,568958,555071,13887,2020,2,2018,12,
New Hampshire,186104,54851,54553,298,2020,2,2018,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
New Mexico,834585,251482,251482,0,2020,2,2018,10,
New Mexico,832586,252949,252949,0,2020,2,2018,12,
North Carolina,2172915,,,,2020,2,2019,2,
South Dakota,104391,,,,2020,2,2018,10,
Texas,4217767,,,,2020,2,2018,12,
Virginia,1401917,220580,220580,0,2020,2,2019,2,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Connecticut,941142,259611,236522,23089,2020,2,2018,11,
Amer. Samoa,27898,,,,2020,2,2018,8,
Dist. Of Col.,260388,108097,66620,41477,2020,2,2019,1,
Georgia,1957134,,,,2020,2,2019,3,
Iowa,606771,169110,154410,14700,2020,2,2018,10,
South Dakota,104691,,,,2020,2,2019,5,
New York,6146669,1909545,300806,1608739,2020,2,2018,12,
New Jersey,1620134,537233,537233,0,2020,2,2019,4,
Nebraska,246589,,,,2020,2,2018,8,
Hawaii,320843,115454,21523,93931,2020,2,2018,8,
Utah,293397,,,,2020,2,2018,7,
California,12793749,3787369,3787362,7,2020,2,2019,1,
Michigan,2402672,680631,632048,48583,2020,2,2019,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Louisiana,1679275,508604,508604,0,2020,2,2019,1,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Arizona,1871082,425811,107086,318725,2020,2,2019,5,
Maryland,1214367,308841,308841,0,2020,2,2018,10,
South Carolina,1264072,,,,2020,2,2018,10,
Alaska,206812,50871,50867,4,2020,2,2019,3,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Colorado,1298991,410093,403062,7031,2020,2,2018,8,
Delaware,211280,62798,10046,52752,2020,2,2018,8,
Colorado,1249008,386765,379757,7008,2020,2,2019,3,
Amer. Samoa,28183,,,,2020,2,2018,11,
Arkansas,845850,256595,255852,743,2020,2,2018,12,
West Virginia,524465,161113,161113,0,2020,2,2019,2,
New Jersey,1651766,551242,551242,0,2020,2,2019,1,
Nevada,601200,214714,214714,0,2020,2,2018,7,
Nevada,587891,210227,210227,0,2020,2,2019,2,
Missouri,916574,,,,2020,2,2018,10,
Idaho,298643,,,,2020,2,2019,5,
Hawaii,318337,114226,21206,93020,2020,2,2018,9,
Idaho,303763,,,,2020,2,2018,11,
Vermont,168482,55431,0,55431,2020,2,2019,4,
Guam,36512,4127,,4127,2020,2,2018,10,
Tennessee,1584270,,,,2020,2,2019,5,
Oregon,967318,466720,385249,81471,2020,2,2019,4,
Wisconsin,1183158,,,,2020,2,2018,10,
Alaska,206259,47883,47882,1,2020,2,2018,8,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Montana,255239,98136,98136,0,2020,2,2019,3,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oregon,956519,456013,381146,74867,2020,2,2018,8,
Nebraska,243681,,,,2020,2,2018,12,
Pennsylvania,2848357,765577,726899,38678,2020,2,2019,6,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Vermont,174092,57632,0,57632,2020,2,2018,10,
Dist. Of Col.,258517,106551,65573,40978,2020,2,2019,6,
Virgin Islands,28363,13100,,13100,2020,2,2019,3,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,219432,62843,9784,53059,2020,2,2019,2,
Florida,3834674,,,,2020,2,2019,1,
Delaware,218611,62534,9593,52941,2020,2,2019,4,
Mississippi,678980,,,,2020,2,2018,7,
N. Mariana Islands,15871,,,,2020,2,2018,11,
South Dakota,104062,,,,2020,2,2018,12,
New Jersey,1685266,561470,561470,0,2020,2,2018,8,
Indiana,1320211,305297,305297,0,2020,2,2019,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Connecticut,955463,267707,243615,24092,2020,2,2019,5,
Alaska,207330,50515,50512,3,2020,2,2019,1,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Totals,75525925,15223609,12018088,3205521,2020,2,2018,11,
Utah,290397,,,,2020,2,2019,1,
Tennessee,1541156,,,,2020,2,2019,2,
Louisiana,1618198,468309,468309,0,2020,2,2019,5,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Michigan,2422058,683634,628160,55474,2020,2,2018,11,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
New York,6116056,1895526,301806,1593720,2020,2,2019,4,
Amer. Samoa,28183,,,,2020,2,2019,2,
Louisiana,1633613,478930,478930,0,2020,2,2019,4,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Washington,1727989,550819,536515,14304,2020,2,2019,5,
Kentucky,1298359,451771,451771,0,2020,2,2018,11,
West Virginia,536370,165238,165238,0,2020,2,2018,7,
Connecticut,935416,256847,233875,22972,2020,2,2018,10,
Iowa,604647,171352,155930,15422,2020,2,2019,2,
New Jersey,1631808,541972,541972,0,2020,2,2019,3,
Washington,1728370,549684,535651,14033,2020,2,2019,6,
Oklahoma,653027,,,,2020,2,2018,10,
Maine,251934,0,0,0,2020,2,2018,9,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
New York,6102146,1890873,301778,1589095,2020,2,2019,5,
Pennsylvania,2858626,771881,733403,38478,2020,2,2018,11,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
South Dakota,105274,,,,2020,2,2018,8,
Kansas,363294,,,,2020,2,2019,3,
Rhode Island,304249,66656,66656,0,2020,2,2019,2,
North Dakota,91289,20160,19211,949,2020,2,2019,1,
Montana,258642,98389,98389,0,2020,2,2018,8,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Louisiana,1577893,460757,460757,0,2020,2,2019,6,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
South Dakota,104303,,,,2020,2,2019,4,
North Dakota,88829,19692,18765,927,2020,2,2019,6,
Arizona,1880703,417074,106282,310792,2020,2,2018,9,
Arizona,1876550,427072,107443,319629,2020,2,2019,4,
Minnesota,1073560,193826,193000,826,2020,2,2019,4,
Ohio,2936429,601592,601305,287,2020,2,2018,7,
Maine,253059,0,0,0,2020,2,2018,7,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Tennessee,1505230,,,,2020,2,2018,11,
Ohio,2925809,594833,594549,284,2020,2,2018,8,
Ohio,2838197,559692,559418,274,2020,2,2019,3,
Massachusetts,1758706,348278,0,348278,2020,2,2018,8,
Mississippi,670959,,,,2020,2,2018,12,
Puerto Rico,1187816,386137,,386137,2020,2,2019,1,
